id,street,city,state,country,zip
1,606 Scoville Pass,Wichita,Kansas,United States,67260
2,8500 Buell Point,Fort Smith,Arkansas,United States,72905
3,483 Sutteridge Road,Omaha,Nebraska,United States,68110
4,081 Parkside Terrace,Santa Clara,California,United States,95054
5,84277 Westend Terrace,San Diego,California,United States,92176
6,58628 Alpine Point,Arlington,Texas,United States,76011
7,8838 Surrey Street,Raleigh,North Carolina,United States,27605
8,6965 Clemons Terrace,Pasadena,California,United States,91109
9,71 Rieder Circle,Indianapolis,Indiana,United States,46226
10,82 Jana Hill,Glendale,California,United States,91210
